Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,15th Speed Percentile,50th Speed Percentile,75th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2019-06,6: Saturday (Sa-Sa),3: Mid-Day (10am-3pm),723,13,16,18.330,0.731,43.02,0.87,6.000,10.000,14.000,16.000,17.000,19.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2019-06,6: Saturday (Sa-Sa),4: Peak PM (3pm-7pm),727,14,16,18.330,0.743,43.23,0.82,8.000,10.000,14.000,16.000,17.000,19.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2019-06,6: Saturday (Sa-Sa),5: Late PM (7pm-12am),282,14,15,18.330,0.757,16.74,0.29,7.000,10.000,14.000,17.000,18.000,20.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2019-06,7: Sunday (Su-Su),0: All Day (12am-12am),1118,14,16,18.330,0.739,66.46,1.28,6.000,10.000,14.000,16.000,17.000,19.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2019-06,7: Sunday (Su-Su),1: Early AM (12am-6am),44,14,15,18.330,0.760,2.64,0.05,4.000,10.000,14.000,17.000,18.000,20.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2019-06,7: Sunday (Su-Su),2: Peak AM (6am-10am),32,14,15,18.330,0.778,1.93,0.03,N/A,N/A,N/A,N/A,N/A,N/A
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2019-06,7: Sunday (Su-Su),3: Mid-Day (10am-3pm),474,14,16,18.330,0.748,28.21,0.52,7.000,10.000,14.000,16.000,17.000,19.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2019-06,7: Sunday (Su-Su),4: Peak PM (3pm-7pm),456,13,16,18.330,0.720,27.09,0.58,7.000,9.000,14.000,15.000,17.000,19.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2019-06,7: Sunday (Su-Su),5: Late PM (7pm-12am),111,14,15,18.330,0.764,6.60,0.11,4.000,8.000,15.000,17.000,18.000,20.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2019-06,0: All Days (M-Su),0: All Day (12am-12am),1504,15,15,20.543,0.712,88.59,1.75,9.000,12.000,15.000,17.000,18.000,19.000
