Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,15th Speed Percentile,50th Speed Percentile,75th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2022-06,6: Saturday (Sa-Sa),5: Late PM (7pm-12am),267,13,16,18.360,0.724,15.85,0.33,8.000,10.000,13.000,15.000,16.000,19.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2022-06,7: Sunday (Su-Su),0: All Day (12am-12am),1058,14,16,18.360,0.739,62.94,1.21,8.000,10.000,13.000,15.000,16.000,20.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2022-06,7: Sunday (Su-Su),1: Early AM (12am-6am),22,12,17,18.360,0.679,1.30,0.03,1.000,5.000,13.000,16.000,18.000,21.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2022-06,7: Sunday (Su-Su),2: Peak AM (6am-10am),47,15,14,18.360,0.830,2.78,0.03,9.000,11.000,14.000,16.000,18.000,20.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2022-06,7: Sunday (Su-Su),3: Mid-Day (10am-3pm),420,14,16,18.360,0.738,24.96,0.48,8.000,10.000,13.000,15.000,16.000,21.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2022-06,7: Sunday (Su-Su),4: Peak PM (3pm-7pm),399,14,16,18.360,0.739,23.72,0.46,8.000,10.000,14.000,15.000,17.000,20.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2022-06,7: Sunday (Su-Su),5: Late PM (7pm-12am),171,13,16,18.360,0.725,10.17,0.21,8.000,10.000,13.000,15.000,16.000,20.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2022-06,0: All Days (M-Su),0: All Day (12am-12am),1190,16,13,21.089,0.750,70.08,1.11,9.000,12.000,16.000,18.000,20.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2022-06,0: All Days (M-Su),1: Early AM (12am-6am),24,17,13,21.089,0.787,1.43,0.02,11.000,13.000,17.000,19.000,20.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2022-06,0: All Days (M-Su),2: Peak AM (6am-10am),152,16,14,21.089,0.743,8.94,0.15,8.000,11.000,15.000,19.000,20.000,22.000
