Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume)
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),273,30,36,31.692,0.951,82.29,0.13
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),1174,29,37,31.692,0.926,353.86,0.89
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),1498,29,38,31.692,0.902,451.54,1.55
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),1743,29,38,31.692,0.900,525.51,1.85
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),761,28,39,31.692,0.888,229.57,0.91
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,3: Wednesday (W-W),0: All Day (12am-12am),5510,29,37,31.692,0.915,1661.13,4.85
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,3: Wednesday (W-W),1: Early AM (12am-6am),283,31,36,31.692,0.965,85.46,0.10
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,3: Wednesday (W-W),2: Peak AM (6am-10am),1290,30,36,31.692,0.939,389.07,0.79
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,3: Wednesday (W-W),3: Mid-Day (10am-3pm),1362,29,38,31.692,0.907,410.76,1.33
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,3: Wednesday (W-W),4: Peak PM (3pm-7pm),1652,29,38,31.692,0.902,497.99,1.71
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,3: Wednesday (W-W),5: Late PM (7pm-12am),922,29,38,31.692,0.903,277.85,0.95
