Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,6: Saturday (Sa-Sa),1: Early AM (12am-6am),330,21,23.578,0.887,12.000,26.000,39.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,6: Saturday (Sa-Sa),2: Peak AM (6am-10am),614,20,23.578,0.847,12.000,24.000,29.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,6: Saturday (Sa-Sa),3: Mid-Day (10am-3pm),1542,19,23.578,0.795,10.000,23.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,6: Saturday (Sa-Sa),4: Peak PM (3pm-7pm),1349,18,23.578,0.776,10.000,23.000,26.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,6: Saturday (Sa-Sa),5: Late PM (7pm-12am),1054,19,23.578,0.802,11.000,24.000,29.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,7: Sunday (Su-Su),0: All Day (12am-12am),3825,19,23.578,0.821,11.000,24.000,29.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,7: Sunday (Su-Su),1: Early AM (12am-6am),325,20,23.578,0.862,11.000,26.000,33.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,7: Sunday (Su-Su),2: Peak AM (6am-10am),463,21,23.578,0.871,11.000,25.000,32.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,7: Sunday (Su-Su),3: Mid-Day (10am-3pm),1330,19,23.578,0.819,11.000,24.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,7: Sunday (Su-Su),4: Peak PM (3pm-7pm),969,19,23.578,0.805,11.000,24.000,29.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,7: Sunday (Su-Su),5: Late PM (7pm-12am),738,19,23.578,0.795,11.000,23.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-03,0: All Days (M-Su),0: All Day (12am-12am),5066,19,23.458,0.806,11.000,24.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-03,0: All Days (M-Su),1: Early AM (12am-6am),326,21,23.458,0.888,12.000,26.000,33.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-03,0: All Days (M-Su),2: Peak AM (6am-10am),927,19,23.458,0.824,11.000,24.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-03,0: All Days (M-Su),3: Mid-Day (10am-3pm),1336,19,23.458,0.814,11.000,24.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-03,0: All Days (M-Su),4: Peak PM (3pm-7pm),1491,18,23.458,0.771,10.000,23.000,26.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-03,0: All Days (M-Su),5: Late PM (7pm-12am),988,19,23.458,0.803,11.000,24.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-03,1: Monday (M-M),0: All Day (12am-12am),5002,19,23.458,0.803,11.000,24.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-03,1: Monday (M-M),1: Early AM (12am-6am),331,21,23.458,0.907,13.000,27.000,34.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-03,1: Monday (M-M),2: Peak AM (6am-10am),1043,19,23.458,0.816,11.000,24.000,29.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-03,1: Monday (M-M),3: Mid-Day (10am-3pm),1330,19,23.458,0.811,12.000,23.000,27.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-03,1: Monday (M-M),4: Peak PM (3pm-7pm),1455,18,23.458,0.763,9.000,23.000,26.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-03,1: Monday (M-M),5: Late PM (7pm-12am),843,19,23.458,0.801,11.000,23.000,29.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-03,2: Tuesday (Tu-Tu),0: All Day (12am-12am),5296,19,23.458,0.799,10.000,24.000,27.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-03,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),272,21,23.458,0.896,12.000,26.000,33.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-03,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),1100,19,23.458,0.806,11.000,24.000,27.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-03,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),1320,19,23.458,0.810,10.000,24.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-03,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),1605,18,23.458,0.769,10.000,23.000,26.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-03,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),998,19,23.458,0.796,11.000,24.000,27.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-03,3: Wednesday (W-W),0: All Day (12am-12am),5325,19,23.458,0.799,10.000,24.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-03,3: Wednesday (W-W),1: Early AM (12am-6am),370,22,23.458,0.919,14.000,27.000,32.000
