Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,1: Monday (M-M),2: Peak AM (6am-10am),183,15,27.020,0.562
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,1: Monday (M-M),3: Mid-Day (10am-3pm),234,15,27.020,0.547
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,1: Monday (M-M),4: Peak PM (3pm-7pm),364,15,27.020,0.551
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,1: Monday (M-M),5: Late PM (7pm-12am),102,15,27.020,0.550
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,2: Tuesday (Tu-Tu),0: All Day (12am-12am),1014,15,27.020,0.559
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),27,15,27.020,0.572
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),206,16,27.020,0.578
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),252,15,27.020,0.554
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),415,15,27.020,0.554
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),114,15,27.020,0.547
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,3: Wednesday (W-W),0: All Day (12am-12am),1076,15,27.020,0.558
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,3: Wednesday (W-W),1: Early AM (12am-6am),31,16,27.020,0.581
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,3: Wednesday (W-W),2: Peak AM (6am-10am),210,15,27.020,0.569
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,3: Wednesday (W-W),3: Mid-Day (10am-3pm),258,15,27.020,0.551
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,3: Wednesday (W-W),4: Peak PM (3pm-7pm),446,15,27.020,0.557
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,3: Wednesday (W-W),5: Late PM (7pm-12am),131,15,27.020,0.549
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,4: Thursday (Th-Th),0: All Day (12am-12am),1063,15,27.020,0.562
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,4: Thursday (Th-Th),1: Early AM (12am-6am),29,16,27.020,0.606
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,4: Thursday (Th-Th),2: Peak AM (6am-10am),203,15,27.020,0.566
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),252,15,27.020,0.563
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),450,15,27.020,0.560
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,4: Thursday (Th-Th),5: Late PM (7pm-12am),129,15,27.020,0.553
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,5: Friday (F-F),0: All Day (12am-12am),1189,15,27.020,0.560
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,5: Friday (F-F),1: Early AM (12am-6am),36,16,27.020,0.595
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,5: Friday (F-F),2: Peak AM (6am-10am),197,15,27.020,0.572
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,5: Friday (F-F),3: Mid-Day (10am-3pm),310,15,27.020,0.563
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,5: Friday (F-F),4: Peak PM (3pm-7pm),475,15,27.020,0.553
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,5: Friday (F-F),5: Late PM (7pm-12am),170,15,27.020,0.553
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,6: Saturday (Sa-Sa),0: All Day (12am-12am),778,15,27.020,0.556
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,6: Saturday (Sa-Sa),1: Early AM (12am-6am),40,15,27.020,0.557
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,6: Saturday (Sa-Sa),2: Peak AM (6am-10am),87,15,27.020,0.556
