Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,1: Monday (M-M),0: All Day (12am-12am),724,21,4,27.340,0.775,15.88,0.17,8.000,13.000,28.000,32.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,1: Monday (M-M),1: Early AM (12am-6am),21,20,4,27.340,0.734,0.47,0.01,N/A,N/A,N/A,N/A
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,1: Monday (M-M),2: Peak AM (6am-10am),93,21,4,27.340,0.782,2.05,0.02,8.000,12.000,28.000,32.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,1: Monday (M-M),3: Mid-Day (10am-3pm),268,21,4,27.340,0.752,5.86,0.07,6.000,13.000,27.000,31.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,1: Monday (M-M),4: Peak PM (3pm-7pm),266,22,4,27.340,0.795,5.83,0.05,9.000,13.000,29.000,35.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,1: Monday (M-M),5: Late PM (7pm-12am),76,21,4,27.340,0.785,1.67,0.02,10.000,13.000,28.000,31.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,2: Tuesday (Tu-Tu),0: All Day (12am-12am),697,21,4,27.340,0.778,15.28,0.16,8.000,13.000,28.000,33.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),9,23,3,27.340,0.848,0.19,0.00,N/A,N/A,N/A,N/A
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),96,22,4,27.340,0.797,2.09,0.02,8.000,13.000,28.000,36.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),239,21,4,27.340,0.784,5.24,0.05,9.000,13.000,29.000,33.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),268,21,4,27.340,0.786,5.86,0.06,9.000,13.000,28.000,33.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),86,19,4,27.340,0.712,1.89,0.03,7.000,12.000,25.000,28.000
