Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,6: Saturday (Sa-Sa),5: Late PM (7pm-12am),392,14,19.323,0.722,7.000,20.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,7: Sunday (Su-Su),0: All Day (12am-12am),1663,14,19.323,0.732,9.000,19.000,21.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,7: Sunday (Su-Su),1: Early AM (12am-6am),122,13,19.323,0.691,7.000,20.000,25.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,7: Sunday (Su-Su),2: Peak AM (6am-10am),64,15,19.323,0.799,7.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,7: Sunday (Su-Su),3: Mid-Day (10am-3pm),788,14,19.323,0.706,9.000,18.000,21.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,7: Sunday (Su-Su),4: Peak PM (3pm-7pm),455,15,19.323,0.765,9.000,19.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,7: Sunday (Su-Su),5: Late PM (7pm-12am),233,15,19.323,0.760,7.000,20.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-08,0: All Days (M-Su),0: All Day (12am-12am),2001,15,19.501,0.778,10.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-08,0: All Days (M-Su),1: Early AM (12am-6am),69,14,19.501,0.706,6.000,20.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-08,0: All Days (M-Su),2: Peak AM (6am-10am),177,17,19.501,0.876,13.000,21.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-08,0: All Days (M-Su),3: Mid-Day (10am-3pm),713,15,19.501,0.781,11.000,20.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-08,0: All Days (M-Su),4: Peak PM (3pm-7pm),644,15,19.501,0.773,10.000,20.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-08,0: All Days (M-Su),5: Late PM (7pm-12am),397,15,19.501,0.748,8.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-08,1: Monday (M-M),0: All Day (12am-12am),1816,15,19.501,0.791,10.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-08,1: Monday (M-M),1: Early AM (12am-6am),58,14,19.501,0.729,6.000,21.000,25.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-08,1: Monday (M-M),2: Peak AM (6am-10am),203,16,19.501,0.841,12.000,21.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-08,1: Monday (M-M),3: Mid-Day (10am-3pm),642,16,19.501,0.810,11.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-08,1: Monday (M-M),4: Peak PM (3pm-7pm),568,15,19.501,0.782,11.000,20.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-08,1: Monday (M-M),5: Late PM (7pm-12am),345,15,19.501,0.752,7.000,20.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-08,2: Tuesday (Tu-Tu),0: All Day (12am-12am),2000,16,19.501,0.810,11.000,20.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-08,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),38,15,19.501,0.788,5.000,26.000,31.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-08,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),229,17,19.501,0.877,13.000,21.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-08,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),685,16,19.501,0.833,12.000,20.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-08,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),630,16,19.501,0.806,11.000,20.000,24.000
